,player,wins,losses,matches,win_pct
170,Pedro Sousa,6,13.0,19.0,0.3157894736842105
171,Thanasi Kokkinakis,6,9.0,15.0,0.4
172,Gianluca Mager,6,6.0,12.0,0.5
173,James Duckworth,6,16.0,22.0,0.2727272727272727
174,Benjamin Hassan,6,1.0,7.0,0.8571428571428571
175,Simone Bolelli,6,7.0,13.0,0.46153846153846156
176,Elias Ymer,6,17.0,23.0,0.2608695652173913
177,Wishaya Trongcharoenchaikul,6,2.0,8.0,0.75
178,Lukas Rosol,6,7.0,13.0,0.46153846153846156
179,Marc Andrea Huesler,6,6.0,12.0,0.5
180,Yasutaka Uchiyama,5,10.0,15.0,0.3333333333333333
181,Federico Coria,5,8.0,13.0,0.38461538461538464
182,Noah Rubin,5,10.0,15.0,0.3333333333333333
183,Lorenzo Musetti,5,3.0,8.0,0.625
184,Rogerio Dutra Silva,5,13.0,18.0,0.2777777777777778
185,Facundo Bagnis,5,13.0,18.0,0.2777777777777778
186,Antoine Hoang,5,9.0,14.0,0.35714285714285715
187,Bjorn Fratangelo,5,12.0,17.0,0.29411764705882354
188,Alexandr Dolgopolov,5,5.0,10.0,0.5
189,Oscar Otte,4,7.0,11.0,0.36363636363636365
