,player,win_pct,win_pct_hsf
0,Novak Djokovic,0.8430232558139535,0.8421052631578947
1,Daniil Medvedev,0.7071823204419889,0.7586206896551724
2,Alexander Zverev,0.7039106145251397,0.7024793388429752
3,Dominic Thiem,0.7305389221556886,0.7173913043478259
4,Rafael Nadal,0.8714285714285714,0.8513513513513513
5,Stefanos Tsitsipas,0.6505376344086021,0.6434108527131783
6,Roger Federer,0.8320000000000001,0.8181818181818182
7,Andrey Rublev,0.6551724137931034,0.6585365853658537
8,Diego Schwartzman,0.5886075949367089,0.5294117647058824
9,Roberto Bautista Agut,0.6549295774647887,0.6666666666666666
10,Karen Khachanov,0.5844155844155844,0.5929203539823009
11,Denis Shapovalov,0.5632911392405063,0.5916666666666667
12,Borna Coric,0.6102941176470589,0.5977011494252874
13,Fabio Fognini,0.6,0.5774647887323944
14,Gael Monfils,0.6428571428571429,0.7108433734939759
15,Marin Cilic,0.6153846153846154,0.5862068965517241
16,Pablo Carreno Busta,0.5877862595419847,0.6436781609195402
17,David Goffin,0.59375,0.5783132530120482
18,Milos Raonic,0.6756756756756757,0.6385542168674698
19,Alex De Minaur,0.6016260162601627,0.6666666666666666
20,Kei Nishikori,0.6576576576576577,0.65625
21,John Isner,0.6,0.5684210526315789
22,Jan Lennard Struff,0.5142857142857142,0.5
23,Gilles Simon,0.5378787878787878,0.5238095238095238
24,Benoit Paire,0.5035971223021583,0.4725274725274725
25,Matteo Berrettini,0.5847457627118644,0.4838709677419355
26,Guido Pella,0.5447154471544715,0.44680851063829785
27,Adrian Mannarino,0.4820143884892086,0.4851485148514851
28,Kevin Anderson,0.6734693877551021,0.6986301369863014
29,Fernando Verdasco,0.5118110236220472,0.5285714285714286
30,Taylor Fritz,0.5079365079365079,0.5
31,Stan Wawrinka,0.5943396226415094,0.6329113924050633
32,Kyle Edmund,0.5478260869565217,0.56
33,Richard Gasquet,0.5636363636363636,0.5454545454545454
34,Felix Auger Aliassime,0.5486725663716814,0.5277777777777778
35,Filip Krajinovic,0.5700934579439252,0.5617977528089888
36,Nikoloz Basilashvili,0.4878048780487805,0.4864864864864865
37,Grigor Dimitrov,0.5504587155963303,0.5714285714285714
38,Albert Ramos,0.4796747967479675,0.3636363636363637
39,John Millman,0.4957264957264957,0.5316455696202531
40,Dusan Lajovic,0.4715447154471545,0.42105263157894735
41,Frances Tiafoe,0.4871794871794872,0.5
42,Marton Fucsovics,0.4913793103448276,0.4931506849315068
43,Pierre Hugues Herbert,0.5045871559633027,0.48
44,Juan Martin del Potro,0.7638888888888888,0.7916666666666666
45,Jeremy Chardy,0.5,0.484375
46,Nick Kyrgios,0.6428571428571429,0.671875
47,Joao Sousa,0.45299145299145294,0.4393939393939394
48,Sam Querrey,0.5368421052631579,0.4925373134328358
49,Andreas Seppi,0.4854368932038835,0.546875
50,Radu Albot,0.44954128440366975,0.4605263157894737
51,Mikhail Kukushkin,0.4571428571428571,0.4722222222222222
52,Pablo Cuevas,0.4897959183673469,0.36666666666666653
53,Christian Garin,0.5581395348837209,0.3939393939393939
54,Cameron Norrie,0.4705882352941176,0.4857142857142857
55,Steve Johnson,0.4747474747474748,0.42372881355932196
56,Philipp Kohlschreiber,0.4747474747474748,0.4901960784313725
57,Casper Ruud,0.5476190476190477,0.3333333333333333
58,Hubert Hurkacz,0.4946236559139785,0.5
59,Nicolas Jarry,0.5,0.2903225806451613
60,Lucas Pouille,0.5227272727272727,0.5535714285714286
61,Laslo Djere,0.4891304347826087,0.2
62,Aljaz Bedene,0.4888888888888889,0.4418604651162791
63,Yoshihito Nishioka,0.5,0.5652173913043478
64,Reilly Opelka,0.5694444444444444,0.6166666666666667
65,Marco Cecchinato,0.405940594059406,0.21621621621621626
66,Feliciano Lopez,0.4761904761904762,0.4528301886792453
67,Robin Haase,0.4395604395604396,0.4736842105263158
68,Damir Dzumhur,0.3939393939393939,0.36764705882352944
69,Miomir Kecmanovic,0.5416666666666666,0.5192307692307693
70,Jordan Thompson,0.4634146341463415,0.4642857142857143
71,Leonardo Mayer,0.42696629213483145,0.4166666666666667
72,Jo-Wilfried Tsonga,0.5757575757575758,0.5957446808510638
73,Roberto Carballes Baena,0.4567901234567901,0.39130434782608703
74,Daniel Evans,0.5142857142857142,0.5517241379310345
75,Tennys Sandgren,0.4235294117647059,0.42857142857142855
76,Ugo Humbert,0.5070422535211268,0.5
77,Hyeon Chung,0.5737704918032787,0.5789473684210527
78,Jiri Vesely,0.5147058823529411,0.4482758620689655
79,Lorenzo Sonego,0.4473684210526316,0.3793103448275862
80,Federico Delbonis,0.40963855421686746,0.21052631578947367
81,Peter Gojowczyk,0.40963855421686746,0.43333333333333335
82,Taro Daniel,0.4366197183098591,0.3947368421052632
83,Jaume Munar,0.410958904109589,0.3076923076923077
84,Vasek Pospisil,0.5,0.5384615384615384
85,Juan Ignacio Londero,0.4918032786885246,0.26666666666666666
86,Martin Klizan,0.5,0.4
87,Alexander Bublik,0.4603174603174603,0.44680851063829785
88,Malek Jaziri,0.4057971014492754,0.3888888888888889
89,Marius Copil,0.3939393939393939,0.4489795918367347
90,Ryan Harrison,0.462962962962963,0.5128205128205128
91,Egor Gerasimov,0.5813953488372093,0.5952380952380952
92,Maximilian Marterer,0.4310344827586207,0.38461538461538464
93,Matthew Ebden,0.3870967741935484,0.375
94,Tomas Berdych,0.5454545454545454,0.6388888888888888
95,Pablo Andujar,0.4067796610169492,0.2608695652173913
96,Mischa Zverev,0.3484848484848485,0.2727272727272727
97,Ricardas Berankis,0.4107142857142857,0.42857142857142855
