,year,score,round,minutes,p1name,p1age,p1ace,p1rank,p1_win_pct,p1_win_pct_hsf,p2name,p2age,p2ace,p2rank,p2_win_pct,p2_win_pct_hsf,p1won,p2won
28,2015,7-6(1) 6-3 6-1,R128,100.0,Pablo Cuevas,29.0485968515,8.0,29.0,0.4897959183673469,0.3666666666666665,Matthias Bachinger,27.8001368925,8.0,142.0,0.5,0.6,0,1
29,2018,6-4 6-4 6-7(4) 7-6(6),R128,191.0,Lucas Pouille,23.893223819299998,14.0,18.0,0.5227272727272727,0.5535714285714286,Ruben Bemelmans,30.0041067762,11.0,117.0,0.2692307692307692,0.2222222222222222,0,1
30,2020,6-1 6-4 4-6 1-6 6-3,R64,186.0,Pierre Hugues Herbert,28.8432580424,9.0,64.0,0.5045871559633027,0.48,David Goffin,29.1197809719,3.0,11.0,0.59375,0.5783132530120482,0,1
31,2018,6-3 6-3 6-2,R32,136.0,Juan Martin del Potro,29.311430527,7.0,10.0,0.7638888888888888,0.7916666666666666,Tomas Berdych,32.3285420945,20.0,20.0,0.5454545454545454,0.6388888888888888,0,1
32,2019,6-1 7-5 6-4,R128,105.0,Mikhail Kukushkin,31.0527036277,4.0,56.0,0.4571428571428571,0.4722222222222222,Lucas Pouille,24.889801505799998,20.0,31.0,0.5227272727272727,0.5535714285714286,0,1
33,2010,6-2 6-2 6-0,R128,81.0,Jeremy Chardy,22.932238193000003,5.0,34.0,0.5,0.484375,Denis Istomin,23.364818617399997,6.0,103.0,0.3461538461538461,0.2962962962962963,0,1
34,2018,2-6 6-3 5-7 6-4 11-9,R128,239.0,Dusan Lajovic,27.545516769299997,6.0,75.0,0.4715447154471545,0.42105263157894735,Diego Schwartzman,25.415468856900002,14.0,26.0,0.5886075949367089,0.5294117647058824,0,1
35,2012,7-5 7-6(8) 1-6 3-6 6-2,R64,252.0,Gilles Simon,27.0527036277,3.0,14.0,0.5378787878787878,0.5238095238095238,Julien Benneteau,30.0725530459,6.0,39.0,0.42105263157894735,0.4545454545454545,0,1
36,2016,6-3 6-7 6-2 6-3,QF,200.0,David Ferrer,33.7960301164,0.0,8.0,0.4146341463414634,0.43478260869565216,Andy Murray,28.6789869952,11.0,2.0,0.5833333333333334,0.6060606060606061,0,1
37,2019,6-7(15) 6-2 6-4 3-6 7-6(5),R64,212.0,Reilly Opelka,21.3798767967,67.0,97.0,0.5694444444444444,0.6166666666666667,Thomas Fabbiano,29.6372347707,2.0,102.0,0.3673469387755102,0.2608695652173913,0,1
38,2018,6-1 6-2 6-4,R128,87.0,Rogerio Dutra Silva,33.9493497604,3.0,98.0,0.2777777777777778,0.47,Nick Kyrgios,22.721423682399998,16.0,17.0,0.6428571428571429,0.671875,0,1
39,2018,6-3 3-6 6-0 6-1,R128,125.0,Alex De Minaur,18.9103353867,4.0,127.0,0.6016260162601627,0.6666666666666666,Tomas Berdych,32.3285420945,5.0,20.0,0.5454545454545454,0.6388888888888888,0,1
40,2010,7-6(5) 2-2 RET,R128,81.0,Oscar Hernandez,31.7754962355,0.0,71.0,0.46,0.47,Albert Montanes,29.144421629,4.0,32.0,0.55,0.56,0,1
41,2015,6-3 6-7(10) 6-3 6-3,R64,169.0,Lukas Lacko,27.2114989733,8.0,99.0,0.3870967741935484,0.3043478260869565,Grigor Dimitrov,23.6796714579,14.0,11.0,0.5504587155963303,0.5714285714285714,0,1
42,2017,6-3 7-6(6) 6-2,R64,125.0,Ryan Harrison,24.6954140999,6.0,82.0,0.46296296296296297,0.5128205128205128,Tomas Berdych,31.3319644079,15.0,10.0,0.5454545454545454,0.6388888888888888,0,1
43,2010,6-4 6-4 6-4,R64,110.0,Antonio Veic,21.916495551,2.0,224.0,0.46,0.47,Gael Monfils,23.3812457221,7.0,12.0,0.6428571428571429,0.7108433734939759,0,1
44,2015,6-4 6-4 6-3,R128,110.0,Kyle Edmund,20.0301163587,5.0,192.0,0.5478260869565217,0.56,Steve Johnson,25.070499657800003,17.0,38.0,0.4747474747474748,0.423728813559322,0,1
45,2012,6-3 6-7(9) 4-6 6-3 7-5,R128,266.0,Illya Marchenko,24.3559206023,2.0,246.0,0.3333333333333333,0.3333333333333333,Sergiy Stakhovsky,26.0260095825,13.0,65.0,0.3333333333333333,0.3636363636363637,0,1
46,2011,6-4 6-3 6-7(4) 7-5,R128,157.0,Stephane Robert,30.6694045175,7.0,124.0,0.25,0.47,Nicolas Almagro,25.4072553046,22.0,14.0,0.55,0.56,0,1
47,2018,6-3 5-7 3-6 7-5 6-2,R128,219.0,Dudi Sela,32.7830253251,5.0,95.0,0.4117647058823529,0.4545454545454545,Ryan Harrison,25.6919917864,15.0,45.0,0.46296296296296297,0.5128205128205128,0,1
48,2019,6-7(3) 6-4 6-3 7-6(4),R128,177.0,Matteo Berrettini,22.757015742600004,9.0,54.0,0.5847457627118644,0.4838709677419355,Stefanos Tsitsipas,20.424366872,15.0,15.0,0.6505376344086021,0.6434108527131783,0,1
49,2010,6-3 6-4 6-4,R64,132.0,Thomaz Bellucci,22.0533880903,8.0,35.0,0.16666666666666666,0.47,Andy Roddick,27.3867214237,11.0,7.0,0.55,0.56,0,1
50,2016,6-4 7-6 7-5,R128,139.0,Jozef Kovalik,23.203285420900002,4.0,251.0,0.3,0.3333333333333333,Marco Trungelliti,25.9630390144,4.0,210.0,0.5,0.56,0,1
51,2012,6-4 6-0 6-2,R128,91.0,Filippo Volandri,30.3627652293,0.0,72.0,0.46,0.47,Milos Raonic,21.054072553,13.0,25.0,0.6756756756756757,0.6385542168674698,0,1
52,2013,7-5 6-4 6-3,R128,135.0,Simone Bolelli,27.2689938398,3.0,80.0,0.4615384615384616,0.3333333333333333,Jerzy Janowicz,22.1711156742,12.0,26.0,0.55,0.56,0,1
53,2016,7-6 6-3,R128,94.0,Dmitry Tursunov,33.1006160164,2.0,1040.0,0.46,0.47,Stan Wawrinka,30.8090349076,14.0,4.0,0.5943396226415094,0.6329113924050633,0,1
54,2016,6-3 6-2 6-2,R64,88.0,Thomaz Bellucci,28.052019165,3.0,37.0,0.16666666666666666,0.47,Steve Johnson,26.0670773443,10.0,32.0,0.4747474747474748,0.423728813559322,0,1
55,2014,6-7(4) 6-4 3-6 6-3 16-14,R128,272.0,Daniel Brands,26.4941820671,41.0,59.0,0.3333333333333333,0.5,Gilles Simon,29.045859000700002,32.0,19.0,0.5378787878787878,0.5238095238095238,0,1
56,2020,4-6 7-6(5) 6-4 6-4,R64,169.0,Nikoloz Basilashvili,27.906913073200002,4.0,29.0,0.4878048780487805,0.4864864864864865,Fernando Verdasco,36.180698152,13.0,51.0,0.5118110236220472,0.5285714285714286,0,1
57,2020,6-4 7-6(6) 3-6 6-7(3) 7-6(3),R64,259.0,Grigor Dimitrov,28.681724845999998,21.0,20.0,0.5504587155963303,0.5714285714285714,Tommy Paul,22.6776180698,11.0,80.0,0.5,0.5333333333333333,0,1
