,player,wins,losses,matches,win_pct
107,Bernard Tomic,9,10.0,19.0,0.47368421052631576
108,Mischa Zverev,9,24.0,33.0,0.2727272727272727
109,Michael Mmoh,9,10.0,19.0,0.47368421052631576
110,Nicolas Jarry,9,22.0,31.0,0.2903225806451613
111,Paolo Lorenzi,9,11.0,20.0,0.45
112,Jack Sock,9,21.0,30.0,0.3
113,Casper Ruud,9,18.0,27.0,0.3333333333333333
114,Marcos Giron,9,11.0,20.0,0.45
115,Guillermo Garcia Lopez,8,16.0,24.0,0.3333333333333333
116,Marco Cecchinato,8,29.0,37.0,0.21621621621621623
117,Jaume Munar,8,18.0,26.0,0.3076923076923077
118,Gregoire Barrere,8,13.0,21.0,0.38095238095238093
119,Corentin Moutet,8,12.0,20.0,0.4
120,Denis Istomin,8,19.0,27.0,0.2962962962962963
121,Emil Ruusuvuori,8,8.0,16.0,0.5
122,Mirza Basic,8,13.0,21.0,0.38095238095238093
123,Lukas Lacko,7,16.0,23.0,0.30434782608695654
124,Henri Laaksonen,7,12.0,19.0,0.3684210526315789
125,Bradley Klahn,7,17.0,24.0,0.2916666666666667
126,Viktor Troicki,7,14.0,21.0,0.3333333333333333
127,Norbert Gombos,7,10.0,17.0,0.4117647058823529
128,Dennis Novak,7,15.0,22.0,0.3181818181818182
129,Salvatore Caruso,7,11.0,18.0,0.3888888888888889
130,Prajnesh Gunneswaran,6,15.0,21.0,0.2857142857142857
131,Pablo Andujar,6,17.0,23.0,0.2608695652173913
132,Thanasi Kokkinakis,6,8.0,14.0,0.42857142857142855
133,Thomas Fabbiano,6,17.0,23.0,0.2608695652173913
134,Mikhail Youzhny,6,11.0,17.0,0.35294117647058826
135,Laslo Djere,6,24.0,30.0,0.2
136,Dominik Koepfer,6,7.0,13.0,0.46153846153846156
137,Matthias Bachinger,6,4.0,10.0,0.6
138,Stefano Travaglia,6,15.0,21.0,0.2857142857142857
139,Steve Darcis,6,9.0,15.0,0.4
140,Alex Bolt,6,10.0,16.0,0.375
141,James Duckworth,6,13.0,19.0,0.3157894736842105
142,Gilles Muller,5,10.0,15.0,0.3333333333333333
143,Kamil Majchrzak,5,6.0,11.0,0.45454545454545453
144,Cedrik Marcel Stebe,5,10.0,15.0,0.3333333333333333
145,Dudi Sela,5,6.0,11.0,0.45454545454545453
146,Alexandr Dolgopolov,5,3.0,8.0,0.625
147,Guido Andreozzi,5,6.0,11.0,0.45454545454545453
148,Jason Jung,5,11.0,16.0,0.3125
149,Yasutaka Uchiyama,5,9.0,14.0,0.35714285714285715
150,Julien Benneteau,5,6.0,11.0,0.45454545454545453
151,Ruben Bemelmans,4,14.0,18.0,0.2222222222222222
152,Tim Smyczek,4,9.0,13.0,0.3076923076923077
153,Federico Delbonis,4,15.0,19.0,0.21052631578947367
154,Nicolas Kicker,4,4.0,8.0,0.5
155,Elias Ymer,4,8.0,12.0,0.3333333333333333
156,Yannick Maden,4,8.0,12.0,0.3333333333333333
157,Yuki Bhambri,4,6.0,10.0,0.4
158,Noah Rubin,4,6.0,10.0,0.4
159,Ernesto Escobedo,4,7.0,11.0,0.36363636363636365
160,Thiago Monteiro,4,12.0,16.0,0.25
161,Sergiy Stakhovsky,4,7.0,11.0,0.36363636363636365
162,Hady Habib,4,0.0,4.0,1.0
163,Nicolas Mahut,4,8.0,12.0,0.3333333333333333
164,Ramkumar Ramanathan,4,10.0,14.0,0.2857142857142857
165,Benjamin Hassan,4,1.0,5.0,0.8
166,Brayden Schnur,4,8.0,12.0,0.3333333333333333
167,Juan Ignacio Londero,4,11.0,15.0,0.26666666666666666
168,Janko Tipsarevic,3,6.0,9.0,0.3333333333333333
169,Horacio Zeballos,3,5.0,8.0,0.375
170,Daniel Elahi Galan,3,5.0,8.0,0.375
171,Go Soeda,3,5.0,8.0,0.375
172,Marcel Granollers,3,10.0,13.0,0.23076923076923078
173,Antoine Hoang,3,8.0,11.0,0.2727272727272727
174,Peter Polansky,3,11.0,14.0,0.21428571428571427
175,Luis Patino,3,1.0,4.0,0.75
176,Yibing Wu,3,6.0,9.0,0.3333333333333333
177,Brandon Nakashima,3,2.0,5.0,0.6
178,Jozef Kovalik,3,6.0,9.0,0.3333333333333333
179,Bjorn Fratangelo,3,7.0,10.0,0.3
180,Jose Rubin Statham,3,2.0,5.0,0.6
181,Oscar Otte,3,5.0,8.0,0.375
182,Donald Young,3,12.0,15.0,0.2
183,Dimitar Kuzmanov,2,4.0,6.0,0.3333333333333333
184,Ricardo Ojeda Lara,2,1.0,3.0,0.6666666666666666
185,Yosuke Watanuki,2,3.0,5.0,0.4
186,Karim Mohamed Maamoun,2,0.0,2.0,1.0
187,Pedro Martinez,2,3.0,5.0,0.4
188,J.J. Wolf,2,3.0,5.0,0.4
189,Tallon Griekspoor,2,7.0,9.0,0.2222222222222222
190,Ricardo Rodriguez,2,0.0,2.0,1.0
191,Nikola Milojevic,2,2.0,4.0,0.5
192,Ze Zhang,2,4.0,6.0,0.3333333333333333
193,Jose Hernandez,2,0.0,2.0,1.0
194,Zhizhen Zhang,2,4.0,6.0,0.3333333333333333
195,Marc Andrea Huesler,2,3.0,5.0,0.4
196,Alejandro Tabilo,2,2.0,4.0,0.5
197,Manuel Sanchez,2,0.0,2.0,1.0
198,Chun Hsin Tseng,2,3.0,5.0,0.4
199,Roberto Marcora,2,1.0,3.0,0.6666666666666666
200,Franko Skugor,2,3.0,5.0,0.4
201,Dmitry Popko,2,1.0,3.0,0.6666666666666666
202,Frederik Nielsen,2,1.0,3.0,0.6666666666666666
203,Jurgen Melzer,2,0.0,2.0,1.0
204,Adrian Menendez Maceiras,2,4.0,6.0,0.3333333333333333
205,Benjamin Lock,2,1.0,3.0,0.6666666666666666
206,Youssef Hossam,2,1.0,3.0,0.6666666666666666
207,Mitchell Krueger,2,5.0,7.0,0.2857142857142857
208,Aslan Karatsev,2,3.0,5.0,0.4
209,Marc Polmans,2,5.0,7.0,0.2857142857142857
210,Lukas Rosol,2,5.0,7.0,0.2857142857142857
211,Alberto Lim,2,0.0,2.0,1.0
212,Jurij Rodionov,1,2.0,3.0,0.3333333333333333
213,Frederico Ferreira Silva,1,0.0,1.0,1.0
214,Cem Ilkel,1,3.0,4.0,0.25
215,Gerardo Lopez Villasenor,1,2.0,3.0,0.3333333333333333
216,Daniel Brands,1,1.0,2.0,0.5
217,Rodrigo Arus,1,0.0,1.0,1.0
218,David Agung Susanto,1,1.0,2.0,0.5
219,Adrian Ungur,1,0.0,1.0,1.0
220,John Bryan Decasa Otico,1,0.0,1.0,1.0
221,Tatsuma Ito,1,5.0,6.0,0.16666666666666666
222,Thiemo De Bakker,1,2.0,3.0,0.3333333333333333
223,Pedro Sousa,1,4.0,5.0,0.2
224,Skyler Butts,1,0.0,1.0,1.0
225,Takanyi Garanganga,1,2.0,3.0,0.3333333333333333
226,Daniel Michalski,1,0.0,1.0,1.0
227,Edan Leshem,1,1.0,2.0,0.5
228,Ugo Nastasi,1,1.0,2.0,0.5
229,Jason Kubler,1,4.0,5.0,0.2
230,Alen Avidzba,1,1.0,2.0,0.5
231,Christopher Eubanks,1,7.0,8.0,0.125
232,Christopher O'Connell,1,2.0,3.0,0.3333333333333333
233,Duck Hee Lee,1,1.0,2.0,0.5
234,Laurynas Grigelis,1,4.0,5.0,0.2
235,Liam Broady,1,1.0,2.0,0.5
236,Zsombor Piros,1,1.0,2.0,0.5
237,Nicola Kuhn,1,2.0,3.0,0.3333333333333333
238,Gianluca Mager,1,2.0,3.0,0.3333333333333333
239,Dragos Dima,1,0.0,1.0,1.0
240,Harri Heliovaara,1,2.0,3.0,0.3333333333333333
241,Peter Bothwell,1,1.0,2.0,0.5
242,Hugo Dellien,1,5.0,6.0,0.16666666666666666
243,Roman Safiullin,1,1.0,2.0,0.5
244,Simone Bolelli,1,2.0,3.0,0.3333333333333333
245,Quentin Halys,1,5.0,6.0,0.16666666666666666
246,Edris Fetisleam,1,0.0,1.0,1.0
247,Sumit Nagal,1,7.0,8.0,0.125
248,Anthony Jackie Tang,1,0.0,1.0,1.0
249,Borna Gojo,1,3.0,4.0,0.25
250,Federico Coria,1,2.0,3.0,0.3333333333333333
251,Finn Tearney,1,0.0,1.0,1.0
252,Aleksandre Metreveli,1,2.0,3.0,0.3333333333333333
253,Viktor Durasovic,1,4.0,5.0,0.2
254,Maxime Cressy,1,1.0,2.0,0.5
255,Marcelo Arevalo,1,2.0,3.0,0.3333333333333333
256,Markus Eriksson,1,1.0,2.0,0.5
257,Jenson Brooksby,1,2.0,3.0,0.3333333333333333
258,Christopher Diaz Figueroa,1,1.0,2.0,0.5
259,Benjamin Bonzi,1,1.0,2.0,0.5
260,Joao Pedro Sorgi,1,1.0,2.0,0.5
261,Mohamed Safwat,1,5.0,6.0,0.16666666666666666
262,Vincent Millot,1,1.0,2.0,0.5
263,Roberto Quiroz,1,0.0,1.0,1.0
264,Cristian Rodriguez,1,0.0,1.0,1.0
265,Kacper Zuk,1,1.0,2.0,0.5
266,Di Wu,1,4.0,5.0,0.2
267,Tung Lin Wu,1,1.0,2.0,0.5
268,Andrey Kuznetsov,1,1.0,2.0,0.5
269,Luis David Martinez,1,0.0,1.0,1.0
270,Holger Rune,1,0.0,1.0,1.0
271,Jurgen Zopp,1,3.0,4.0,0.25
272,Wishaya Trongcharoenchaikul,1,1.0,2.0,0.5
273,Zhe Li,1,6.0,7.0,0.14285714285714285
274,Jonathan Mridha,1,1.0,2.0,0.5
275,Emilio Gomez,1,2.0,3.0,0.3333333333333333
276,Jonas Forejtek,1,1.0,2.0,0.5
277,Kevin King,1,2.0,3.0,0.3333333333333333
278,Lukas Hellum Lilleengen,1,0.0,1.0,1.0
279,Illya Marchenko,1,2.0,3.0,0.3333333333333333
280,Bogdan Borza,1,0.0,1.0,1.0
281,Blaz Kavcic,1,6.0,7.0,0.14285714285714285
282,Alejandro Gonzalez,1,1.0,2.0,0.5
283,Constant Lestienne,1,3.0,4.0,0.25
284,Jurabek Karimov,1,0.0,1.0,1.0
285,Carlos Taberner,1,1.0,2.0,0.5
286,Nicolas Alvarez,1,0.0,1.0,1.0
287,Hong Kit Jack Wong,1,1.0,2.0,0.5
